index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
5,2011-01-01,spring,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
6,2011-01-01,spring,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
31,2011-01-02,spring,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
50,2011-01-03,spring,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
72,2011-01-04,spring,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
119,2011-01-06,spring,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
141,2011-01-07,spring,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
142,2011-01-07,spring,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
166,2011-01-08,spring,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
190,2011-01-09,spring,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
191,2011-01-09,spring,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
192,2011-01-09,spring,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
211,2011-01-10,spring,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
213,2011-01-10,spring,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
258,2011-01-12,spring,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
304,2011-01-14,spring,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
305,2011-01-14,spring,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
330,2011-01-15,spring,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,1
353,2011-01-16,spring,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,1
355,2011-01-16,spring,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,1
378,2011-01-17,spring,0,1,5,1,1,0,2,0.18,0.197,0.43,0.1642,1
435,2011-01-20,spring,0,1,3,0,4,1,1,0.26,0.2576,0.56,0.1642,1
436,2011-01-20,spring,0,1,4,0,4,1,1,0.26,0.2576,0.56,0.1642,1
459,2011-01-21,spring,0,1,3,0,5,1,3,0.22,0.2121,0.8,0.2985,1
460,2011-01-21,spring,0,1,4,0,5,1,2,0.22,0.2576,0.87,0.0896,1
508,2011-01-23,spring,0,1,6,0,0,0,2,0.04,0.0758,0.57,0.1045,1
527,2011-01-24,spring,0,1,1,0,1,1,1,0.04,0.0455,0.45,0.194,1
528,2011-01-24,spring,0,1,3,0,1,1,1,0.04,0.0303,0.45,0.2537,1
529,2011-01-24,spring,0,1,4,0,1,1,1,0.02,0.0606,0.48,0.1343,1
552,2011-01-25,spring,0,1,4,0,2,1,1,0.14,0.1667,0.74,0.1045,1
575,2011-01-26,spring,0,1,5,0,3,1,3,0.2,0.1818,0.86,0.2836,1
599,2011-01-28,spring,0,1,3,0,5,1,2,0.2,0.2273,0.75,0.1045,1
646,2011-01-30,spring,0,1,4,0,0,0,1,0.14,0.2121,0.93,0.0,1
667,2011-01-31,spring,0,1,2,0,1,1,1,0.22,0.2273,0.64,0.194,1
715,2011-02-02,spring,0,2,3,0,3,1,3,0.22,0.2273,0.93,0.1343,1
716,2011-02-02,spring,0,2,4,0,3,1,3,0.22,0.2121,0.93,0.2836,1
739,2011-02-03,spring,0,2,3,0,4,1,1,0.18,0.1667,0.43,0.2537,1
761,2011-02-04,spring,0,2,2,0,5,1,2,0.14,0.1667,0.63,0.1045,1
762,2011-02-04,spring,0,2,3,0,5,1,2,0.14,0.1667,0.63,0.1045,1
811,2011-02-06,spring,0,2,5,0,0,0,1,0.26,0.2576,0.6,0.2239,1
812,2011-02-06,spring,0,2,6,0,0,0,1,0.26,0.2576,0.6,0.2239,1
833,2011-02-07,spring,0,2,3,0,1,1,1,0.2,0.2576,0.86,0.0,1
857,2011-02-08,spring,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,1
904,2011-02-10,spring,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,1
951,2011-02-12,spring,0,2,5,0,6,0,1,0.12,0.1667,0.74,0.0896,1
1020,2011-02-15,spring,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,1
1042,2011-02-16,spring,0,2,3,0,3,1,2,0.2,0.197,0.47,0.194,1
1043,2011-02-16,spring,0,2,4,0,3,1,1,0.2,0.197,0.51,0.194,1
1091,2011-02-18,spring,0,2,4,0,5,1,1,0.46,0.4545,0.67,0.2537,1
1139,2011-02-20,spring,0,2,4,0,0,0,1,0.22,0.1818,0.44,0.5522,1
1162,2011-02-21,spring,0,2,4,1,1,0,1,0.32,0.3182,0.45,0.1642,1
1202,2011-02-23,spring,0,2,2,0,3,1,1,0.12,0.1515,0.5,0.1343,1
1318,2011-02-28,spring,0,2,3,0,1,1,3,0.32,0.3182,0.93,0.1642,1
1342,2011-03-01,spring,0,3,4,0,2,1,1,0.22,0.2121,0.69,0.2537,1
1366,2011-03-02,spring,0,3,4,0,3,1,1,0.2,0.2121,0.75,0.1343,1
1387,2011-03-03,spring,0,3,1,0,4,1,1,0.24,0.197,0.3,0.4627,1
1389,2011-03-03,spring,0,3,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1
1390,2011-03-03,spring,0,3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,1
1413,2011-03-04,spring,0,3,3,0,5,1,2,0.18,0.1667,0.74,0.2537,1
1414,2011-03-04,spring,0,3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1
1438,2011-03-05,spring,0,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1
1483,2011-03-07,spring,0,3,3,0,1,1,1,0.2,0.1515,0.8,0.5821,1
1484,2011-03-07,spring,0,3,4,0,1,1,1,0.2,0.1515,0.8,0.5224,1
1485,2011-03-07,spring,0,3,5,0,1,1,1,0.2,0.1818,0.75,0.3582,1
1506,2011-03-08,spring,0,3,2,0,2,1,1,0.24,0.2424,0.52,0.1343,1
1554,2011-03-10,spring,0,3,2,0,4,1,3,0.34,0.3182,0.0,0.2537,1
1601,2011-03-12,spring,0,3,4,0,6,0,1,0.24,0.2273,0.65,0.2537,1
